wl,fighterx,fightery,agex,heightx,reachx,slpmx,stacx,sapmx,tdavgx,tdaccx,tddefx,subavgx,winsx,lossesx,drawsx,stanceopenstancex,stanceorthodoxx,stancesouthpawx,stanceswitchx,agey,heighty,reachy,slpmy,stacy,sapmy,tdavgy,tdaccy,tddefy,subavgy,winsy,lossesy,drawsy,stanceopenstancey,stanceorthodoxy,stancesouthpawy,stanceswitchy
0,AJ Dobson,Armen Petrosyan,32,73,76,4,47,47,1,75,64,0,7,2,0,0,1,0,0,33,75,71,5,52,56,0,33,31,0,9,3,0,0,1,0,0
0,AJ Fletcher,Bryan Battle,27,70,67,3,49,46,1,35,33,0,10,3,0,0,0,0,1,29,73,77,4,54,42,0,25,45,0,11,2,0,0,1,0,0
1,AJ Fletcher,Themba Gorimbo,27,70,67,3,49,46,1,35,33,0,10,3,0,0,0,0,1,33,73,77,2,60,46,3,45,66,0,12,4,0,0,1,0,0
0,Aaron Phillips,Gaston Bolanos,34,69,71,1,53,43,0,50,44,0,12,5,0,0,0,1,0,31,67,69,3,43,49,0,0,50,0,7,4,0,0,1,0,0
1,Aaron Riley,Jorge Gurgel,43,68,69,3,34,61,1,34,60,0,30,14,1,0,0,1,0,47,67,69,3,32,62,0,23,60,0,14,10,0,0,1,0,0
0,Aaron Riley,Shane Nelson,43,68,69,3,34,61,1,34,60,0,30,14,1,0,0,1,0,39,69,70,1,31,61,1,18,54,1,16,7,0,0,0,1,0
0,Aaron Riley,Spencer Fisher,43,68,69,3,34,61,1,34,60,0,30,14,1,0,0,1,0,47,67,68,3,43,64,0,30,60,0,24,9,0,0,0,1,0
1,Aaron Simpson,Eric Schafer,49,72,73,3,52,56,3,34,83,0,12,5,0,0,1,0,0,46,75,76,1,34,56,1,36,50,1,14,8,2,0,1,0,0
0,Aaron Simpson,Chris Leben,49,72,73,3,52,56,3,34,83,0,12,5,0,0,1,0,0,43,71,73,2,42,52,1,41,53,0,22,11,0,0,0,1,0
0,Aaron Simpson,Mike Pierce,49,72,73,3,52,56,3,34,83,0,12,5,0,0,1,0,0,43,68,71,2,42,62,3,42,71,0,17,7,0,0,1,0,0
0,Aaron Simpson,Mark Munoz,49,72,73,3,52,56,3,34,83,0,12,5,0,0,1,0,0,46,72,71,3,51,57,3,29,57,0,14,6,0,0,1,0,0
0,Abdul Razak Alhassan,Khaos Williams,38,70,73,3,48,55,0,38,50,0,12,6,0,0,1,0,0,29,72,77,5,39,42,0,0,80,0,14,3,0,0,1,0,0
1,Abdul Razak Alhassan,Sabah Homasi,38,70,73,3,48,55,0,38,50,0,12,6,0,0,1,0,0,35,72,72,4,48,47,2,50,66,0,11,8,0,0,1,0,0
0,Abel Trujillo,John Makdessi,40,68,70,2,41,59,2,45,40,0,15,8,0,0,1,0,0,38,68,68,5,49,68,0,0,86,0,18,9,0,0,1,0,0
1,Abel Trujillo,Marcus LeVesseur,40,68,70,2,41,59,2,45,40,0,15,8,0,0,1,0,0,41,69,70,2,64,37,3,36,83,0,22,7,0,0,0,1,0
0,Abel Trujillo,James Vick,40,68,70,2,41,59,2,45,40,0,15,8,0,0,1,0,0,37,75,76,4,39,60,0,33,57,0,13,5,0,0,1,0,0
0,Abel Trujillo,Tony Ferguson,40,68,70,2,41,59,2,45,40,0,15,8,0,0,1,0,0,40,71,76,4,45,55,0,35,67,0,26,10,0,0,1,0,0
0,Abu Azaitar,Marc-Andre Barriault,37,69,76,4,43,51,1,37,42,0,14,4,1,0,1,0,0,34,73,74,6,47,52,0,25,67,0,16,7,0,0,1,0,0
1,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,34,71,72,2,53,65,1,22,88,0,17,4,1,0,1,0,0,31,73,71,1,39,39,1,30,60,0,13,2,0,0,0,0,1
0,Abus Magomedov,Caio Borralho,33,74,78,3,42,54,0,50,10,0,25,6,1,0,1,0,0,31,70,75,2,58,60,2,63,57,0,15,1,0,0,0,1,0
1,Abus Magomedov,Dustin Stoltzfus,33,74,78,3,42,54,0,50,10,0,25,6,1,0,1,0,0,32,72,75,3,44,48,2,40,46,0,15,5,0,0,1,0,0
1,Adam Milstead,Chris de la Rocha,36,75,76,3,46,43,0,0,64,0,8,4,0,0,1,0,0,44,75,80,4,45,43,2,30,33,1,5,3,0,0,1,0,0
1,Adam Wieczorek,Anthony Hamilton,32,77,81,1,38,48,0,33,58,0,10,2,0,0,1,0,0,43,77,76,3,65,45,2,42,78,0,15,9,0,0,1,0,0
0,Adam Wieczorek,Marcos Rogerio de Lima,32,77,81,1,38,48,0,33,58,0,10,2,0,0,1,0,0,38,73,75,3,57,51,1,45,59,0,22,10,1,0,1,0,0
1,Adam Wieczorek,Arjan Bhullar,32,77,81,1,38,48,0,33,58,0,10,2,0,0,1,0,0,37,73,75,2,56,59,1,75,10,0,9,1,0,0,1,0,0
0,Adam Yandiev,Jordan Johnson,35,69,74,0,8,36,0,0,25,0,9,1,0,0,1,0,0,35,74,79,3,47,53,3,42,10,1,10,0,0,0,1,0,0
1,Adrian Yanez,Davey Grant,30,67,70,6,39,57,0,0,10,0,16,5,0,0,1,0,0,38,68,69,4,42,55,1,41,61,0,15,7,0,0,1,0,0
0,Adriano Martins,Kajan Johnson,41,70,72,1,38,65,0,80,81,0,28,9,0,0,0,1,0,39,71,75,2,42,64,1,37,62,0,23,13,1,0,1,0,0
0,Adriano Martins,Donald Cerrone,41,70,72,1,38,65,0,80,81,0,28,9,0,0,0,1,0,40,73,73,4,46,53,1,33,73,1,36,17,0,0,1,0,0
